user_name,user_mail,password,location,availability,skills_have,skills_want
John,tinahamilton@gmail.com,#j7s9Nko+m,Port Jared,"Sunday, Wednesday, Friday, Thursday","UI Design, Python","Figma, React"
Cassidy,echerry@davis-roy.com,_1UOPHl2zR,South Brenda,"Sunday, Thursday, Saturday, Friday","Figma, ML",Java
Trevor,suttonjohn@lowery.org,!XYWithxs1,Brownland,"Thursday, Tuesday, Sunday","Excel, Java","Node.js, ML"
Aaron,virginiamitchell@yahoo.com,M68+LKj^(f,Forbesville,"Thursday, Saturday","Guitar, React, Java","UI Design, C++"
Shawn,katherine68@gmail.com,qo@4eBPoMY,Murphyview,"Wednesday, Thursday","React, Node.js, Python",C++
Autumn,beannatasha@hotmail.com,+3JRCnmCTa,Port Carlos,"Monday, Saturday","ML, Python, Java",C++
Michael,jeffrey49@hodge.info,L%1KjPpEy@,New Veronica,"Thursday, Sunday","Figma, Node.js",ML
Angela,kristin50@sanchez.com,8wSC(tLv_%,Johnsonside,"Wednesday, Monday, Thursday, Sunday",Java,ML
Raymond,garyanderson@rodriguez.net,_(0Ehx$BAQ,Edwardside,"Monday, Thursday, Friday","Figma, UI Design","Guitar, ML"
Anne,gibsoncynthia@cooper.com,)Rx1Ga&v1p,North Jon,"Saturday, Wednesday, Thursday, Tuesday",Guitar,Node.js
Jamie,desiree78@hotmail.com,^6w3VMZW_e,Port Tammybury,Monday,UI Design,"ML, React"
Michael,brianschneider@gmail.com,a)%5lPxn(A,Lake Stephanie,"Saturday, Friday","Java, Node.js",Guitar
Lee,daniel40@gmail.com,32#GjgA@#b,Joneschester,"Wednesday, Monday, Friday","Figma, Excel","Guitar, Java"
James,johndean@gmail.com,P_6FdkTpfY,North Christinafurt,"Friday, Wednesday, Saturday, Sunday","Python, UI Design, React","Figma, UI Design"
Deanna,timothy46@gmail.com,W*o9P1ftO4,Robertmouth,Sunday,C++,ML
Tina,jonathananthony@gmail.com,$xXKpRbxp6,Smithchester,"Sunday, Saturday, Thursday, Tuesday","ML, Guitar, Figma","Java, Node.js"
Nicholas,gonzalezmary@gmail.com,&!_3Bqnc3o,New Jeffreyfurt,"Saturday, Monday, Tuesday, Wednesday","Figma, Java",Guitar
Albert,micheal42@briggs.com,q%5#TTuD2(,North Brandon,"Thursday, Monday, Friday",React,Guitar
Erica,cvance@owens-sloan.info,jf3)vH8Yy$,Thompsonborough,Tuesday,"Figma, Java",Python
Nicholas,cruzheather@hotmail.com,q45gXuCu&N,West Shawnmouth,"Monday, Thursday","Java, Python","Figma, C++"
Spencer,ashley49@yahoo.com,((2AXhWg_*,North Lindashire,"Tuesday, Saturday, Wednesday, Thursday","ML, Node.js",ML
Laurie,blackburndamon@gmail.com,&9d&URCULa,Andrewville,"Friday, Tuesday, Wednesday","React, ML, C++",Figma
Courtney,danacontreras@ellis-torres.com,OPpi$8eNO$,East Anthony,"Sunday, Saturday","Python, Figma, Node.js","Java, Figma"
Amber,wardphilip@gmail.com,!3JCNG6Fus,West Keithville,"Monday, Friday, Thursday, Wednesday","UI Design, React",React
Amanda,roymary@williams.com,%J3TE2bbQY,North Danielstad,"Wednesday, Monday, Saturday","C++, Figma, Java","Python, Guitar"
Steven,zferrell@gmail.com,0%7MRbjeZl,Franciscochester,Wednesday,C++,"Guitar, Figma"
Victoria,jeffreygraves@harris.net,Q7+goClE%6,Schultzhaven,"Monday, Tuesday","Figma, Excel, React","Figma, Java"
Michael,curtismichael@wright.biz,A%1CAmvvzu,Port Christopher,"Friday, Saturday","Node.js, Python, C++","ML, React"
Thomas,stephenmills@yahoo.com,&CB_Ivo4+3,Port Brandonport,"Thursday, Saturday, Wednesday, Sunday",C++,Excel
James,krystalmarquez@hotmail.com,835Zj4FR&B,West Elizabethton,"Monday, Thursday, Tuesday, Sunday",UI Design,"Figma, Java"
Sherry,carrie46@blevins-lewis.com,FSTs2^Im%1,Lake Michael,"Wednesday, Saturday",Figma,React
